ID,Text,Category,Priority
3004,I can't log into Active Directory from my tablet. It returns AUTH-007. Needs immediate attention.,Service Request,medium
3005,I can't log into Teams from my router. It returns ERR42. Issue reported by user.,Hardware Issue,low
3006,There is a problem with Outlook on the printer. Error: ERR42. Issue reported by user.,Software Bug,low
3007,My router stopped working when I tried to use Active Directory. Error displayed: 0x80070005. Occurs intermittently.,Other,high
3008,Teams fails to load on my router showing ERR42.,Network Problem,critical
3009,I can't log into Database from my mobile. It returns ERR42.,Account/Access Issue,low
3010,There is a problem with Teams on the router. Error: ERR-9999. Occurs intermittently.,Hardware Issue,medium
3011,"I am unable to access WiFi on my printer, it shows error 0x80070005. Kindly assist.",Security,high
3012,"I am unable to access Teams on my tablet, it shows error FAIL-101. Kindly assist.",Security,high
3013,My printer stopped working when I tried to use Email. Error displayed: ERR-9999. Kindly assist.,Account/Access Issue,critical
3014,There is a problem with Zoom on the mobile. Error: ERR42. Kindly assist.,Hardware Issue,medium
3015,My tablet stopped working when I tried to use Outlook. Error displayed: NET-503. Kindly assist.,Account/Access Issue,critical
3016,There is a problem with Email on the printer. Error: AUTH-007. Issue reported by user.,Network Problem,medium
3017,My tablet stopped working when I tried to use WiFi. Error displayed: ERR-9999. Needs immediate attention.,Network Problem,high
3018,I can't log into Zoom from my router. It returns ERR42. Occurs intermittently.,Account/Access Issue,high
3019,There is a problem with Salesforce on the router. Error: 0x80070005. Occurs intermittently.,Software Bug,high
3020,Teams keeps crashing on my server. Code AUTH-007. Occurs intermittently.,Account/Access Issue,medium
3021,Active Directory fails to load on my printer showing FAIL-101. Occurs intermittently.,Hardware Issue,high
3022,CRM Portal fails to load on my router showing FAIL-101. Issue reported by user.,Software Bug,high
3023,WiFi keeps crashing on my server. Code NET-503.,Security,critical
3024,There is a problem with CRM Portal on the desktop. Error: ERR-9999.,Service Request,medium
3025,I can't log into Active Directory from my mobile. It returns ERR42.,Other,low
3026,There is a problem with CRM Portal on the router. Error: NET-503. Issue reported by user.,Software Bug,critical
3027,My mobile stopped working when I tried to use Email. Error displayed: 0xC004F012. Issue reported by user.,Other,high
3028,Outlook fails to load on my printer showing FAIL-101. Needs immediate attention.,Service Request,high
3029,CRM Portal fails to load on my router showing TIMEOUT-22. Issue reported by user.,Service Request,critical
3030,"I am unable to access Active Directory on my desktop, it shows error TIMEOUT-22. Kindly assist.",Hardware Issue,critical
3031,There is a problem with Teams on the router. Error: ERR-9999. Needs immediate attention.,Account/Access Issue,low
3032,Teams fails to load on my laptop showing 0x80070005. Issue reported by user.,Other,high
3033,My tablet stopped working when I tried to use Teams. Error displayed: ERR42. Occurs intermittently.,Network Problem,low
3034,I can't log into VPN from my mobile. It returns 0x80070005.,Service Request,high
3035,Active Directory fails to load on my mobile showing NET-503. Issue reported by user.,Other,critical
3036,There is a problem with Zoom on the mobile. Error: NET-503. Issue reported by user.,Service Request,critical
3037,"I am unable to access Outlook on my router, it shows error 0x80070005. Needs immediate attention.",Account/Access Issue,high
3038,Email keeps crashing on my server. Code 0xC004F012. Needs immediate attention.,Service Request,high
3039,Salesforce keeps crashing on my server. Code FAIL-101. Needs immediate attention.,Security,high
3040,VPN fails to load on my router showing 0x80070005. Occurs intermittently.,Software Bug,high
3041,Salesforce keeps crashing on my server. Code FAIL-101. Issue reported by user.,Security,high
3042,There is a problem with Database on the mobile. Error: 0x80070005. Occurs intermittently.,Hardware Issue,high
3043,"I am unable to access WiFi on my mobile, it shows error 0xC004F012. Please resolve soon.",Service Request,high
3044,WiFi fails to load on my server showing TIMEOUT-22. Needs immediate attention.,Account/Access Issue,critical
3045,There is a problem with VPN on the printer. Error: NET-503. Issue reported by user.,Software Bug,critical
3046,I can't log into CRM Portal from my router. It returns FAIL-101. Needs immediate attention.,Hardware Issue,high
3047,There is a problem with Active Directory on the laptop. Error: FAIL-101. Please resolve soon.,Account/Access Issue,high
3048,"I am unable to access Salesforce on my desktop, it shows error FAIL-101. Please resolve soon.",Other,high
3049,WiFi fails to load on my mobile showing 0xC004F012. Kindly assist.,Network Problem,high
3050,There is a problem with Outlook on the laptop. Error: FAIL-101. Please resolve soon.,Service Request,high
3051,Database keeps crashing on my desktop. Code AUTH-007. Please resolve soon.,Security,medium
3052,Email fails to load on my tablet showing AUTH-007. Needs immediate attention.,Account/Access Issue,medium
3053,Teams keeps crashing on my printer. Code FAIL-101. Needs immediate attention.,Software Bug,high
3054,Database keeps crashing on my mobile. Code 0xC004F012. Needs immediate attention.,Software Bug,high
3055,Zoom fails to load on my desktop showing FAIL-101. Issue reported by user.,Account/Access Issue,high
3056,I can't log into Email from my printer. It returns TIMEOUT-22. Occurs intermittently.,Software Bug,critical
3057,"I am unable to access WiFi on my router, it shows error TIMEOUT-22. Please resolve soon.",Service Request,critical
3058,I can't log into Zoom from my tablet. It returns NET-503. Kindly assist.,Software Bug,critical
3059,My desktop stopped working when I tried to use Email. Error displayed: FAIL-101. Issue reported by user.,Other,high
3060,I can't log into Teams from my router. It returns ERR42. Occurs intermittently.,Hardware Issue,low
3061,"I am unable to access Database on my laptop, it shows error AUTH-007. Needs immediate attention.",Software Bug,medium
3062,My tablet stopped working when I tried to use WiFi. Error displayed: AUTH-007. Needs immediate attention.,Hardware Issue,medium
3063,Outlook fails to load on my mobile showing NET-503. Issue reported by user.,Security,critical
3064,My laptop stopped working when I tried to use WiFi. Error displayed: 0xC004F012. Occurs intermittently.,Network Problem,high
3065,My printer stopped working when I tried to use VPN. Error displayed: 0x80070005. Issue reported by user.,Hardware Issue,high
3066,I can't log into Teams from my router. It returns 0xC004F012.,Security,high
3067,I can't log into Zoom from my router. It returns AUTH-007. Needs immediate attention.,Account/Access Issue,medium
3068,"I am unable to access VPN on my mobile, it shows error TIMEOUT-22. Needs immediate attention.",Security,critical
3069,Teams fails to load on my router showing FAIL-101. Issue reported by user.,Network Problem,high
3070,Email fails to load on my desktop showing TIMEOUT-22.,Software Bug,critical
3071,I can't log into Active Directory from my laptop. It returns 0x80070005. Needs immediate attention.,Software Bug,high
3072,There is a problem with Active Directory on the server. Error: FAIL-101. Kindly assist.,Hardware Issue,high
3073,Teams fails to load on my laptop showing AUTH-007. Kindly assist.,Account/Access Issue,medium
3074,VPN fails to load on my printer showing FAIL-101. Kindly assist.,Hardware Issue,high
3075,My mobile stopped working when I tried to use Zoom. Error displayed: ERR42. Occurs intermittently.,Hardware Issue,medium
3076,My server stopped working when I tried to use Salesforce. Error displayed: FAIL-101. Please resolve soon.,Network Problem,high
3077,My router stopped working when I tried to use Outlook. Error displayed: 0xC004F012.,Hardware Issue,high
3078,Database fails to load on my printer showing 0xC004F012. Please resolve soon.,Security,high
3079,"I am unable to access Teams on my desktop, it shows error FAIL-101. Needs immediate attention.",Security,high
3080,There is a problem with Outlook on the tablet. Error: ERR-9999. Needs immediate attention.,Security,critical
3081,I can't log into Database from my printer. It returns AUTH-007. Please resolve soon.,Hardware Issue,medium
3082,There is a problem with Outlook on the printer. Error: ERR42. Needs immediate attention.,Software Bug,low
3083,My laptop stopped working when I tried to use Email. Error displayed: 0x80070005. Please resolve soon.,Account/Access Issue,high
3084,Outlook fails to load on my mobile showing NET-503. Kindly assist.,Security,critical
3085,I can't log into Outlook from my printer. It returns ERR42. Needs immediate attention.,Software Bug,high
3086,I can't log into Active Directory from my laptop. It returns 0x80070005. Needs immediate attention.,Software Bug,high
3087,Active Directory fails to load on my server showing NET-503. Issue reported by user.,Hardware Issue,critical
3088,"I am unable to access Zoom on my router, it shows error AUTH-007. Please resolve soon.",Network Problem,medium
3089,"I am unable to access Outlook on my laptop, it shows error AUTH-007. Kindly assist.",Software Bug,medium
3090,"I am unable to access Outlook on my router, it shows error 0x80070005. Occurs intermittently.",Account/Access Issue,high
3091,There is a problem with Zoom on the desktop. Error: 0x80070005. Kindly assist.,Software Bug,high
3092,I can't log into Database from my mobile. It returns TIMEOUT-22.,Hardware Issue,critical
3093,"I am unable to access Email on my mobile, it shows error FAIL-101. Kindly assist.",Network Problem,high
3094,"I am unable to access Zoom on my printer, it shows error ERR-9999. Needs immediate attention.",Hardware Issue,medium
3095,I can't log into Salesforce from my server. It returns 0x80070005. Needs immediate attention.,Account/Access Issue,high
3096,Zoom keeps crashing on my desktop. Code ERR42. Issue reported by user.,Service Request,high
3097,"I am unable to access WiFi on my server, it shows error ERR-9999. Please resolve soon.",Network Problem,high
3098,Salesforce keeps crashing on my router. Code ERR42. Kindly assist.,Security,critical
3099,There is a problem with CRM Portal on the desktop. Error: ERR-9999. Please resolve soon.,Service Request,medium
3100,CRM Portal keeps crashing on my printer. Code FAIL-101. Occurs intermittently.,Software Bug,high
3101,"I am unable to access WiFi on my printer, it shows error AUTH-007. Occurs intermittently.",Service Request,medium
3102,Teams fails to load on my laptop showing AUTH-007. Kindly assist.,Account/Access Issue,medium
3103,There is a problem with Teams on the printer. Error: TIMEOUT-22. Issue reported by user.,Network Problem,critical
3104,Database keeps crashing on my laptop. Code NET-503. Needs immediate attention.,Hardware Issue,critical
3105,Teams keeps crashing on my router. Code 0xC004F012. Issue reported by user.,Hardware Issue,high
3106,I can't log into CRM Portal from my printer. It returns TIMEOUT-22.,Hardware Issue,critical
3107,There is a problem with VPN on the laptop. Error: 0x80070005. Occurs intermittently.,Software Bug,high
3108,Outlook fails to load on my laptop showing ERR42. Needs immediate attention.,Hardware Issue,high
3109,Salesforce keeps crashing on my mobile. Code 0xC004F012.,Security,high
3110,"I am unable to access VPN on my mobile, it shows error TIMEOUT-22. Needs immediate attention.",Security,critical
3111,There is a problem with Email on the mobile. Error: AUTH-007. Occurs intermittently.,Service Request,medium
3112,My printer stopped working when I tried to use CRM Portal. Error displayed: ERR42. Needs immediate attention.,Software Bug,medium
3113,My mobile stopped working when I tried to use CRM Portal. Error displayed: ERR42. Kindly assist.,Other,critical
3114,WiFi fails to load on my server showing NET-503.,Account/Access Issue,critical
3115,Email fails to load on my desktop showing ERR42.,Software Bug,low
3116,I can't log into Salesforce from my router. It returns 0xC004F012. Issue reported by user.,Service Request,high
3117,I can't log into Teams from my laptop. It returns AUTH-007. Needs immediate attention.,Hardware Issue,medium
3118,Database keeps crashing on my desktop. Code TIMEOUT-22. Please resolve soon.,Security,critical
3119,"I am unable to access Teams on my printer, it shows error AUTH-007.",Account/Access Issue,medium
3120,"I am unable to access Outlook on my tablet, it shows error AUTH-007. Kindly assist.",Security,medium
3121,WiFi fails to load on my desktop showing NET-503. Occurs intermittently.,Network Problem,critical
3122,Outlook fails to load on my tablet showing TIMEOUT-22. Occurs intermittently.,Service Request,critical
3123,"I am unable to access Teams on my mobile, it shows error TIMEOUT-22. Occurs intermittently.",Other,critical
3124,There is a problem with CRM Portal on the router. Error: NET-503. Issue reported by user.,Software Bug,critical
3125,There is a problem with CRM Portal on the server. Error: FAIL-101. Issue reported by user.,Service Request,high
3126,My desktop stopped working when I tried to use Salesforce. Error displayed: ERR-9999. Please resolve soon.,Network Problem,low
3127,My printer stopped working when I tried to use Database. Error displayed: ERR-9999. Occurs intermittently.,Account/Access Issue,medium
3128,My desktop stopped working when I tried to use Teams. Error displayed: AUTH-007. Kindly assist.,Hardware Issue,medium
3129,My router stopped working when I tried to use CRM Portal. Error displayed: 0x80070005. Occurs intermittently.,Software Bug,high
3130,I can't log into Active Directory from my mobile. It returns TIMEOUT-22.,Network Problem,critical
3131,I can't log into WiFi from my desktop. It returns AUTH-007. Kindly assist.,Network Problem,medium
3132,I can't log into WiFi from my desktop. It returns AUTH-007. Please resolve soon.,Network Problem,medium
3133,My laptop stopped working when I tried to use Outlook. Error displayed: 0xC004F012. Issue reported by user.,Service Request,high
3134,"I am unable to access Database on my desktop, it shows error NET-503. Kindly assist.",Network Problem,critical
3135,Outlook keeps crashing on my mobile. Code TIMEOUT-22. Issue reported by user.,Hardware Issue,critical
3136,My printer stopped working when I tried to use Salesforce. Error displayed: TIMEOUT-22. Issue reported by user.,Service Request,critical
3137,There is a problem with WiFi on the router. Error: AUTH-007.,Account/Access Issue,medium
3138,Active Directory keeps crashing on my mobile. Code ERR42. Issue reported by user.,Service Request,high
3139,My mobile stopped working when I tried to use Zoom. Error displayed: NET-503. Please resolve soon.,Software Bug,critical
3140,"I am unable to access CRM Portal on my server, it shows error AUTH-007. Needs immediate attention.",Account/Access Issue,medium
3141,My mobile stopped working when I tried to use VPN. Error displayed: TIMEOUT-22. Please resolve soon.,Other,critical
3142,My server stopped working when I tried to use WiFi. Error displayed: ERR-9999.,Software Bug,medium
3143,Outlook fails to load on my printer showing FAIL-101.,Service Request,high
3144,I can't log into Email from my printer. It returns NET-503. Please resolve soon.,Software Bug,critical
3145,WiFi fails to load on my laptop showing 0x80070005. Needs immediate attention.,Account/Access Issue,high
3146,My server stopped working when I tried to use WiFi. Error displayed: NET-503. Issue reported by user.,Hardware Issue,critical
3147,There is a problem with Zoom on the router. Error: NET-503. Kindly assist.,Network Problem,critical
3148,"I am unable to access WiFi on my server, it shows error NET-503. Please resolve soon.",Other,critical
3149,WiFi fails to load on my mobile showing 0xC004F012. Needs immediate attention.,Network Problem,high
3150,Database keeps crashing on my mobile. Code TIMEOUT-22. Please resolve soon.,Hardware Issue,critical
3151,There is a problem with Teams on the tablet. Error: 0x80070005.,Service Request,high
3152,"I am unable to access CRM Portal on my router, it shows error NET-503. Kindly assist.",Network Problem,critical
3153,Email fails to load on my desktop showing 0x80070005. Needs immediate attention.,Hardware Issue,high
3154,My laptop stopped working when I tried to use Database. Error displayed: 0x80070005. Occurs intermittently.,Software Bug,high
3155,My printer stopped working when I tried to use VPN. Error displayed: 0x80070005. Occurs intermittently.,Hardware Issue,high
3156,"I am unable to access Active Directory on my router, it shows error NET-503. Occurs intermittently.",Other,critical
3157,My tablet stopped working when I tried to use Active Directory. Error displayed: NET-503.,Account/Access Issue,critical
3158,My tablet stopped working when I tried to use Database. Error displayed: 0x80070005. Please resolve soon.,Account/Access Issue,high
3159,"I am unable to access Active Directory on my tablet, it shows error ERR-9999. Issue reported by user.",Network Problem,low
3160,I can't log into Email from my router. It returns TIMEOUT-22. Please resolve soon.,Hardware Issue,critical
3161,I can't log into Teams from my tablet. It returns NET-503.,Hardware Issue,critical
3162,Outlook keeps crashing on my tablet. Code ERR-9999.,Account/Access Issue,high
3163,My router stopped working when I tried to use Teams. Error displayed: ERR42. Issue reported by user.,Hardware Issue,low
3164,There is a problem with Outlook on the laptop. Error: 0x80070005. Issue reported by user.,Account/Access Issue,high
3165,Outlook keeps crashing on my router. Code ERR42. Issue reported by user.,Other,critical
3166,WiFi keeps crashing on my mobile. Code FAIL-101. Needs immediate attention.,Software Bug,high
3167,I can't log into CRM Portal from my desktop. It returns ERR42.,Network Problem,high
3168,Email fails to load on my server showing NET-503.,Hardware Issue,critical
3169,Outlook fails to load on my printer showing FAIL-101. Please resolve soon.,Service Request,high
3170,My printer stopped working when I tried to use WiFi. Error displayed: ERR42.,Account/Access Issue,medium
3171,My printer stopped working when I tried to use Zoom. Error displayed: NET-503. Issue reported by user.,Service Request,critical
3172,CRM Portal fails to load on my tablet showing NET-503. Issue reported by user.,Software Bug,critical
3173,My desktop stopped working when I tried to use WiFi. Error displayed: AUTH-007.,Security,medium
3174,There is a problem with Email on the laptop. Error: AUTH-007. Needs immediate attention.,Other,medium
3175,Database fails to load on my mobile showing FAIL-101. Needs immediate attention.,Software Bug,high
3176,I can't log into Salesforce from my tablet. It returns 0x80070005.,Network Problem,high
3177,Email fails to load on my mobile showing ERR42. Issue reported by user.,Account/Access Issue,critical
3178,There is a problem with VPN on the laptop. Error: 0x80070005. Issue reported by user.,Software Bug,high
3179,Database fails to load on my router showing 0xC004F012.,Service Request,high
3180,"I am unable to access Zoom on my router, it shows error AUTH-007.",Network Problem,medium
3181,There is a problem with CRM Portal on the mobile. Error: TIMEOUT-22. Needs immediate attention.,Security,critical
3182,My desktop stopped working when I tried to use Active Directory. Error displayed: TIMEOUT-22. Kindly assist.,Hardware Issue,critical
3183,There is a problem with Zoom on the tablet. Error: NET-503. Needs immediate attention.,Security,critical
3184,"I am unable to access WiFi on my printer, it shows error ERR42. Needs immediate attention.",Hardware Issue,high
3185,Email keeps crashing on my desktop. Code 0xC004F012. Issue reported by user.,Other,high
3186,WiFi fails to load on my laptop showing FAIL-101. Please resolve soon.,Security,high
3187,There is a problem with Teams on the router. Error: ERR-9999. Kindly assist.,Account/Access Issue,low
3188,There is a problem with Outlook on the tablet. Error: ERR-9999. Issue reported by user.,Security,critical
3189,My printer stopped working when I tried to use CRM Portal. Error displayed: 0xC004F012. Occurs intermittently.,Service Request,high
3190,My tablet stopped working when I tried to use Salesforce. Error displayed: 0x80070005.,Service Request,high
3191,"I am unable to access Teams on my desktop, it shows error FAIL-101.",Security,high
3192,I can't log into Active Directory from my server. It returns ERR42. Kindly assist.,Other,medium
3193,There is a problem with Teams on the printer. Error: NET-503. Needs immediate attention.,Account/Access Issue,critical
3194,CRM Portal keeps crashing on my laptop. Code ERR-9999. Issue reported by user.,Other,high
3195,VPN fails to load on my mobile showing 0xC004F012. Issue reported by user.,Security,high
3196,There is a problem with WiFi on the desktop. Error: 0x80070005. Occurs intermittently.,Hardware Issue,high
3197,I can't log into Zoom from my router. It returns 0x80070005. Kindly assist.,Service Request,high
3198,CRM Portal keeps crashing on my laptop. Code NET-503. Needs immediate attention.,Software Bug,critical
3199,Teams keeps crashing on my printer. Code FAIL-101. Kindly assist.,Software Bug,high
3200,"I am unable to access Outlook on my printer, it shows error TIMEOUT-22. Issue reported by user.",Other,critical
3201,My tablet stopped working when I tried to use Outlook. Error displayed: NET-503. Kindly assist.,Account/Access Issue,critical
3202,Salesforce fails to load on my server showing AUTH-007. Issue reported by user.,Other,medium
3203,"I am unable to access Active Directory on my printer, it shows error AUTH-007. Please resolve soon.",Service Request,medium
3204,CRM Portal keeps crashing on my laptop. Code ERR-9999.,Other,high
3205,"I am unable to access WiFi on my router, it shows error TIMEOUT-22. Needs immediate attention.",Service Request,critical
3206,Zoom keeps crashing on my router. Code ERR-9999. Occurs intermittently.,Network Problem,medium
3207,WiFi fails to load on my desktop showing 0x80070005. Please resolve soon.,Service Request,high
3208,My laptop stopped working when I tried to use Email. Error displayed: AUTH-007. Kindly assist.,Service Request,medium
3209,"I am unable to access WiFi on my mobile, it shows error 0xC004F012. Kindly assist.",Security,high
3210,I can't log into Database from my server. It returns ERR42. Kindly assist.,Software Bug,low
3211,"I am unable to access WiFi on my printer, it shows error AUTH-007. Kindly assist.",Account/Access Issue,medium
3212,My server stopped working when I tried to use CRM Portal. Error displayed: 0xC004F012. Needs immediate attention.,Network Problem,high
3213,WiFi fails to load on my server showing TIMEOUT-22.,Account/Access Issue,critical
3214,There is a problem with Outlook on the tablet. Error: FAIL-101. Occurs intermittently.,Software Bug,high
3215,I can't log into Email from my tablet. It returns ERR-9999.,Service Request,high
3216,"I am unable to access Teams on my mobile, it shows error TIMEOUT-22. Please resolve soon.",Other,critical
3217,My printer stopped working when I tried to use Zoom. Error displayed: 0xC004F012.,Hardware Issue,high
3218,Teams keeps crashing on my tablet. Code 0x80070005.,Service Request,high
3219,"I am unable to access Zoom on my desktop, it shows error ERR42.",Account/Access Issue,high
3220,My desktop stopped working when I tried to use Salesforce. Error displayed: TIMEOUT-22. Occurs intermittently.,Service Request,critical
3221,Teams fails to load on my router showing FAIL-101.,Network Problem,high
3222,VPN keeps crashing on my desktop. Code ERR42. Please resolve soon.,Other,low
3223,Database keeps crashing on my printer. Code AUTH-007. Kindly assist.,Account/Access Issue,medium
3224,"I am unable to access Active Directory on my tablet, it shows error NET-503.",Service Request,critical
3225,CRM Portal keeps crashing on my desktop. Code NET-503. Please resolve soon.,Service Request,critical
3226,I can't log into Teams from my server. It returns 0xC004F012.,Account/Access Issue,high
3227,I can't log into Database from my server. It returns ERR-9999. Needs immediate attention.,Security,high
3228,There is a problem with Outlook on the tablet. Error: ERR-9999.,Security,critical
3229,Database keeps crashing on my router. Code 0x80070005.,Account/Access Issue,high
3230,I can't log into Teams from my desktop. It returns AUTH-007. Please resolve soon.,Account/Access Issue,medium
3231,"I am unable to access Zoom on my printer, it shows error ERR-9999.",Hardware Issue,medium
3232,Zoom fails to load on my tablet showing TIMEOUT-22. Needs immediate attention.,Service Request,critical
3233,WiFi fails to load on my tablet showing 0xC004F012. Needs immediate attention.,Service Request,high
3234,Active Directory fails to load on my router showing AUTH-007. Kindly assist.,Account/Access Issue,medium
3235,Active Directory fails to load on my desktop showing TIMEOUT-22. Please resolve soon.,Network Problem,critical
3236,Zoom keeps crashing on my server. Code TIMEOUT-22. Needs immediate attention.,Software Bug,critical
3237,"I am unable to access Database on my router, it shows error ERR42. Occurs intermittently.",Account/Access Issue,low
3238,There is a problem with Outlook on the server. Error: ERR-9999.,Account/Access Issue,critical
3239,There is a problem with Database on the server. Error: TIMEOUT-22. Kindly assist.,Software Bug,critical
3240,There is a problem with Active Directory on the server. Error: FAIL-101. Please resolve soon.,Service Request,high
3241,My printer stopped working when I tried to use Zoom. Error displayed: AUTH-007. Occurs intermittently.,Service Request,medium
3242,There is a problem with Outlook on the desktop. Error: 0x80070005. Issue reported by user.,Account/Access Issue,high
3243,VPN fails to load on my server showing 0x80070005. Kindly assist.,Service Request,high
3244,My laptop stopped working when I tried to use CRM Portal. Error displayed: 0xC004F012. Kindly assist.,Network Problem,high
3245,CRM Portal fails to load on my mobile showing ERR42. Please resolve soon.,Security,high
3246,VPN fails to load on my printer showing FAIL-101. Kindly assist.,Hardware Issue,high
3247,Salesforce fails to load on my desktop showing 0x80070005. Kindly assist.,Hardware Issue,high
3248,"I am unable to access WiFi on my tablet, it shows error FAIL-101. Kindly assist.",Hardware Issue,high
3249,"I am unable to access Salesforce on my desktop, it shows error FAIL-101. Please resolve soon.",Other,high
3250,Outlook fails to load on my mobile showing 0x80070005. Issue reported by user.,Other,high
3251,Database keeps crashing on my laptop. Code NET-503. Please resolve soon.,Hardware Issue,critical
3252,My server stopped working when I tried to use Zoom. Error displayed: ERR42. Issue reported by user.,Network Problem,low
3253,Active Directory fails to load on my desktop showing FAIL-101. Occurs intermittently.,Software Bug,high
3254,My tablet stopped working when I tried to use Active Directory. Error displayed: FAIL-101.,Service Request,high
3255,I can't log into Active Directory from my mobile. It returns TIMEOUT-22. Kindly assist.,Network Problem,critical
3256,My desktop stopped working when I tried to use Active Directory. Error displayed: 0x80070005. Please resolve soon.,Hardware Issue,high
3257,I can't log into Active Directory from my desktop. It returns 0xC004F012. Occurs intermittently.,Service Request,high
3258,There is a problem with Email on the laptop. Error: 0x80070005. Please resolve soon.,Account/Access Issue,high
3259,I can't log into Teams from my mobile. It returns ERR42. Issue reported by user.,Other,high
3260,"I am unable to access Teams on my printer, it shows error AUTH-007. Kindly assist.",Account/Access Issue,medium
3261,There is a problem with Email on the router. Error: AUTH-007. Issue reported by user.,Security,medium
3262,There is a problem with Outlook on the laptop. Error: 0x80070005. Issue reported by user.,Account/Access Issue,high
3263,My printer stopped working when I tried to use Teams. Error displayed: 0x80070005. Issue reported by user.,Other,high
3264,I can't log into Email from my tablet. It returns FAIL-101.,Network Problem,high
3265,"I am unable to access Outlook on my laptop, it shows error 0x80070005. Needs immediate attention.",Account/Access Issue,high
3266,Outlook fails to load on my router showing TIMEOUT-22. Occurs intermittently.,Hardware Issue,critical
3267,There is a problem with CRM Portal on the printer. Error: ERR42. Please resolve soon.,Software Bug,medium
3268,I can't log into Salesforce from my server. It returns 0xC004F012. Please resolve soon.,Service Request,high
3269,VPN keeps crashing on my server. Code AUTH-007. Issue reported by user.,Software Bug,medium
3270,There is a problem with Zoom on the printer. Error: ERR42. Please resolve soon.,Hardware Issue,low
3271,Active Directory keeps crashing on my desktop. Code FAIL-101. Please resolve soon.,Service Request,high
3272,"I am unable to access Active Directory on my printer, it shows error ERR42. Please resolve soon.",Account/Access Issue,critical
3273,My printer stopped working when I tried to use Email. Error displayed: NET-503. Issue reported by user.,Hardware Issue,critical
3274,My server stopped working when I tried to use WiFi. Error displayed: TIMEOUT-22. Needs immediate attention.,Service Request,critical
3275,"I am unable to access CRM Portal on my printer, it shows error 0xC004F012. Occurs intermittently.",Software Bug,high
3276,I can't log into Active Directory from my desktop. It returns NET-503.,Security,critical
3277,Active Directory keeps crashing on my router. Code FAIL-101. Issue reported by user.,Service Request,high
3278,My router stopped working when I tried to use Email. Error displayed: ERR42.,Network Problem,high
3279,Teams keeps crashing on my desktop. Code FAIL-101. Please resolve soon.,Other,high
3280,Zoom fails to load on my tablet showing ERR-9999. Issue reported by user.,Account/Access Issue,low
3281,My tablet stopped working when I tried to use Salesforce. Error displayed: 0xC004F012. Occurs intermittently.,Hardware Issue,high
3282,WiFi keeps crashing on my server. Code AUTH-007. Occurs intermittently.,Software Bug,medium
3283,WiFi fails to load on my laptop showing 0xC004F012. Kindly assist.,Network Problem,high
3284,My tablet stopped working when I tried to use Zoom. Error displayed: TIMEOUT-22. Needs immediate attention.,Account/Access Issue,critical
3285,Teams keeps crashing on my tablet. Code ERR-9999.,Hardware Issue,low
3286,There is a problem with Active Directory on the server. Error: 0x80070005. Issue reported by user.,Software Bug,high
3287,Zoom fails to load on my mobile showing 0x80070005. Occurs intermittently.,Other,high
3288,VPN keeps crashing on my printer. Code ERR42. Issue reported by user.,Network Problem,medium
3289,There is a problem with Active Directory on the router. Error: AUTH-007. Needs immediate attention.,Network Problem,medium
3290,My server stopped working when I tried to use CRM Portal. Error displayed: ERR-9999. Needs immediate attention.,Other,high
3291,"I am unable to access Outlook on my router, it shows error ERR-9999. Issue reported by user.",Network Problem,high
3292,Outlook keeps crashing on my laptop. Code NET-503.,Other,critical
3293,CRM Portal keeps crashing on my tablet. Code TIMEOUT-22. Occurs intermittently.,Network Problem,critical
3294,Salesforce keeps crashing on my tablet. Code TIMEOUT-22. Issue reported by user.,Service Request,critical
3295,"I am unable to access Email on my mobile, it shows error FAIL-101. Occurs intermittently.",Account/Access Issue,high
3296,CRM Portal keeps crashing on my mobile. Code AUTH-007. Kindly assist.,Hardware Issue,medium
3297,My router stopped working when I tried to use Teams. Error displayed: TIMEOUT-22. Please resolve soon.,Security,critical
3298,Outlook fails to load on my tablet showing TIMEOUT-22. Occurs intermittently.,Service Request,critical
3299,Salesforce fails to load on my desktop showing 0xC004F012. Please resolve soon.,Security,high
3300,"I am unable to access Active Directory on my printer, it shows error AUTH-007. Kindly assist.",Service Request,medium
3301,I can't log into Active Directory from my server. It returns ERR42. Needs immediate attention.,Other,medium
3302,Active Directory fails to load on my mobile showing FAIL-101. Issue reported by user.,Software Bug,high
3303,There is a problem with CRM Portal on the desktop. Error: ERR-9999. Issue reported by user.,Service Request,medium
3304,Database keeps crashing on my router. Code FAIL-101. Issue reported by user.,Hardware Issue,high
3305,My server stopped working when I tried to use Salesforce. Error displayed: AUTH-007. Occurs intermittently.,Network Problem,medium
3306,Database keeps crashing on my server. Code 0x80070005. Kindly assist.,Software Bug,high
3307,WiFi fails to load on my router showing 0x80070005. Needs immediate attention.,Account/Access Issue,high
3308,Zoom fails to load on my server showing TIMEOUT-22. Needs immediate attention.,Network Problem,critical
3309,I can't log into Outlook from my mobile. It returns TIMEOUT-22. Please resolve soon.,Software Bug,critical
3310,My tablet stopped working when I tried to use Zoom. Error displayed: TIMEOUT-22. Needs immediate attention.,Account/Access Issue,critical
3311,"I am unable to access Zoom on my server, it shows error 0xC004F012. Occurs intermittently.",Software Bug,high
3312,Database keeps crashing on my router. Code 0x80070005. Occurs intermittently.,Account/Access Issue,high
3313,There is a problem with VPN on the printer. Error: FAIL-101. Kindly assist.,Security,high
3314,My tablet stopped working when I tried to use Email. Error displayed: ERR42.,Account/Access Issue,critical
3315,There is a problem with Database on the server. Error: ERR-9999. Kindly assist.,Service Request,high
